,depolarizing rate,fidelity,trajectory,result
0,0.0,1.0,0,Analytic
1,0.08,0.8568946856088059,0,Analytic
2,0.16,0.6565628835149028,0,Analytic
3,0.24,0.45978559769385874,0,Analytic
4,0.32,0.32990877740719504,0,Analytic
5,0.4,0.2724182426161489,0,Analytic
6,0.0,1.0,1,Analytic
7,0.08,0.8568946856088059,1,Analytic
8,0.16,0.6565628835149028,1,Analytic
9,0.24,0.45978559769385874,1,Analytic
10,0.32,0.32990877740719504,1,Analytic
11,0.4,0.2724182426161489,1,Analytic
12,0.0,1.0,2,Analytic
13,0.08,0.8568946856088059,2,Analytic
14,0.16,0.6565628835149028,2,Analytic
15,0.24,0.45978559769385874,2,Analytic
16,0.32,0.32990877740719504,2,Analytic
17,0.4,0.2724182426161489,2,Analytic
18,0.0,1.0,3,Analytic
19,0.08,0.8568946856088059,3,Analytic
20,0.16,0.6565628835149028,3,Analytic
21,0.24,0.45978559769385874,3,Analytic
22,0.32,0.32990877740719504,3,Analytic
23,0.4,0.2724182426161489,3,Analytic
24,0.0,1.0,4,Analytic
25,0.08,0.8568946856088059,4,Analytic
26,0.16,0.6565628835149028,4,Analytic
27,0.24,0.45978559769385874,4,Analytic
28,0.32,0.32990877740719504,4,Analytic
29,0.4,0.2724182426161489,4,Analytic
30,0.0,1.0,5,Analytic
31,0.08,0.8568946856088059,5,Analytic
32,0.16,0.6565628835149028,5,Analytic
33,0.24,0.45978559769385874,5,Analytic
34,0.32,0.32990877740719504,5,Analytic
35,0.4,0.2724182426161489,5,Analytic
36,0.0,1.0,6,Analytic
37,0.08,0.8568946856088059,6,Analytic
38,0.16,0.6565628835149028,6,Analytic
39,0.24,0.45978559769385874,6,Analytic
40,0.32,0.32990877740719504,6,Analytic
41,0.4,0.2724182426161489,6,Analytic
42,0.0,1.0,7,Analytic
43,0.08,0.8568946856088059,7,Analytic
44,0.16,0.6565628835149028,7,Analytic
45,0.24,0.45978559769385874,7,Analytic
46,0.32,0.32990877740719504,7,Analytic
47,0.4,0.2724182426161489,7,Analytic
48,0.0,1.0,8,Analytic
49,0.08,0.8568946856088059,8,Analytic
50,0.16,0.6565628835149028,8,Analytic
51,0.24,0.45978559769385874,8,Analytic
52,0.32,0.32990877740719504,8,Analytic
53,0.4,0.2724182426161489,8,Analytic
54,0.0,1.0,9,Analytic
55,0.08,0.8568946856088059,9,Analytic
56,0.16,0.6565628835149028,9,Analytic
57,0.24,0.45978559769385874,9,Analytic
58,0.32,0.32990877740719504,9,Analytic
59,0.4,0.2724182426161489,9,Analytic
60,0.0,1.0,0,Simulated
61,0.08,0.8543333333333334,0,Simulated
62,0.16,0.6711666666666666,0,Simulated
63,0.24,0.4713333333333334,0,Simulated
64,0.32,0.3426666666666667,0,Simulated
65,0.4,0.2803333333333333,0,Simulated
66,0.0,1.0,1,Simulated
67,0.08,0.8541666666666666,1,Simulated
68,0.16,0.6556666666666666,1,Simulated
69,0.24,0.4756666666666666,1,Simulated
70,0.32,0.34349999999999997,1,Simulated
71,0.4,0.2868333333333334,1,Simulated
72,0.0,1.0,2,Simulated
73,0.08,0.8621666666666667,2,Simulated
74,0.16,0.6551666666666667,2,Simulated
75,0.24,0.48233333333333334,2,Simulated
76,0.32,0.3333333333333333,2,Simulated
77,0.4,0.28833333333333333,2,Simulated
78,0.0,1.0,3,Simulated
79,0.08,0.8658333333333333,3,Simulated
80,0.16,0.6603333333333333,3,Simulated
81,0.24,0.4575,3,Simulated
82,0.32,0.3486666666666666,3,Simulated
83,0.4,0.2838333333333333,3,Simulated
84,0.0,1.0,4,Simulated
85,0.08,0.8588333333333333,4,Simulated
86,0.16,0.6638333333333333,4,Simulated
87,0.24,0.482,4,Simulated
88,0.32,0.32966666666666666,4,Simulated
89,0.4,0.2665,4,Simulated
90,0.0,1.0,5,Simulated
91,0.08,0.8661666666666666,5,Simulated
92,0.16,0.6626666666666667,5,Simulated
93,0.24,0.4708333333333334,5,Simulated
94,0.32,0.3353333333333333,5,Simulated
95,0.4,0.25916666666666666,5,Simulated
96,0.0,1.0,6,Simulated
97,0.08,0.8591666666666666,6,Simulated
98,0.16,0.6746666666666666,6,Simulated
99,0.24,0.4728333333333333,6,Simulated
100,0.32,0.3443333333333333,6,Simulated
101,0.4,0.27033333333333337,6,Simulated
102,0.0,1.0,7,Simulated
103,0.08,0.8598333333333333,7,Simulated
104,0.16,0.6649999999999999,7,Simulated
105,0.24,0.4575,7,Simulated
106,0.32,0.33766666666666667,7,Simulated
107,0.4,0.279,7,Simulated
108,0.0,1.0,8,Simulated
109,0.08,0.8543333333333334,8,Simulated
110,0.16,0.6508333333333334,8,Simulated
111,0.24,0.47433333333333333,8,Simulated
112,0.32,0.3303333333333333,8,Simulated
113,0.4,0.2793333333333334,8,Simulated
114,0.0,1.0,9,Simulated
115,0.08,0.8505,9,Simulated
116,0.16,0.6639999999999999,9,Simulated
117,0.24,0.4593333333333333,9,Simulated
118,0.32,0.33116666666666666,9,Simulated
119,0.4,0.2673333333333333,9,Simulated
