index,loss rate,depolarizing rate,gate error rate,memory error,measurement error,number of hops,trajectory,experiment,fidelity,total time,fidelity estimation time,fidelity estimated edges,label resource produced,base Bell pairs attempted,distance,XX commute,XX anti-commute,YY commute,YY anti-commute,ZZ commute,ZZ anti-commute
0,0.3,0.025,0.0,0.01,0.0,2,0,0G,0.6711666666666667,5.354743333337214,5.353903333337207,"Node 0, Node 2",9001,567986,100,2405,595,2242,758,2380,620
0,0.3,0.025,0.0,0.01,0.0,2,0,E2E-1G-Ss-Dp,0.597,33.87503333318072,33.872266666514044,"Node 0, Node 2",9001,3355619,100,2300,700,2116,884,2166,834
0,0.3,0.025,0.0,0.01,0.0,2,0,1G-Ss-Dp,0.4536666666666667,20.733359999969206,20.730446666635903,"Node 0, Node 2",9001,2155792,100,1970,1030,1813,1187,1939,1061
0,0.3,0.025,0.0,0.01,0.0,2,0,1-2G-DirectedEncoded,0.517,20.557716666637763,20.555549999971117,"Node 0, Node 2",9001,2146276,100,2160,840,1899,1101,2043,957
0,0.3,0.025,0.0,0.01,0.0,2,0,HG-END2ENDPurifiedEncoded,0.8413333333333333,34.24946666651079,34.24763999984409,"Node 0, Node 2",9001,3392374,100,2855,145,2566,434,2627,373
0,0.3,0.025,0.0,0.01,0.0,2,0,2G-NonLocalCNOT,0.3175,42.38023666645076,42.376333333117444,"Node 0, Node 2",9001,3998508,100,1655,1345,1558,1442,1692,1308
0,0.3,0.025,0.0,0.01,0.0,2,1,0G,0.6886666666666668,5.322146666670512,5.321733333337181,"Node 0, Node 2",9001,566580,100,2400,600,2304,696,2428,572
0,0.3,0.025,0.0,0.01,0.0,2,1,E2E-1G-Ss-Dp,0.5955,33.675776666515226,33.67459999984857,"Node 0, Node 2",9001,3338529,100,2256,744,2117,883,2200,800
0,0.3,0.025,0.0,0.01,0.0,2,1,1G-Ss-Dp,0.45933333333333337,20.816046666635163,20.81244999996853,"Node 0, Node 2",9001,2173146,100,2004,996,1763,1237,1989,1011
0,0.3,0.025,0.0,0.01,0.0,2,1,1-2G-DirectedEncoded,0.5013333333333334,20.589479999970656,20.587736666637337,"Node 0, Node 2",9001,2149908,100,2069,931,1928,1072,2011,989
0,0.3,0.025,0.0,0.01,0.0,2,1,HG-END2ENDPurifiedEncoded,0.8446666666666667,34.46197333317576,34.45637666650917,"Node 0, Node 2",9001,3410125,100,2855,145,2559,441,2654,346
0,0.3,0.025,0.0,0.01,0.0,2,1,2G-NonLocalCNOT,0.32433333333333336,42.143086666452994,42.139243333119694,"Node 0, Node 2",9001,3976224,100,1674,1326,1592,1408,1680,1320
0,0.3,0.025,0.0,0.01,0.0,2,2,0G,0.6781666666666667,5.337913333337195,5.337113333337186,"Node 0, Node 2",9001,569165,100,2413,587,2250,750,2406,594
0,0.3,0.025,0.0,0.01,0.0,2,2,E2E-1G-Ss-Dp,0.5948333333333333,34.59241333317482,34.59076666650817,"Node 0, Node 2",9001,3424353,100,2307,693,2098,902,2164,836
0,0.3,0.025,0.0,0.01,0.0,2,2,1G-Ss-Dp,0.4641666666666667,20.476566666638504,20.47573333330518,"Node 0, Node 2",9001,2136227,100,1958,1042,1848,1152,1979,1021
0,0.3,0.025,0.0,0.01,0.0,2,2,1-2G-DirectedEncoded,0.5213333333333334,20.52867333330458,20.5266633333046,"Node 0, Node 2",9001,2149244,100,2116,884,1904,1096,2108,892
0,0.3,0.025,0.0,0.01,0.0,2,2,HG-END2ENDPurifiedEncoded,0.8411666666666666,34.56468666650801,34.56354333317475,"Node 0, Node 2",9001,3428242,100,2834,166,2556,444,2657,343
0,0.3,0.025,0.0,0.01,0.0,2,2,2G-NonLocalCNOT,0.3111666666666667,42.23905999978587,42.2319833331193,"Node 0, Node 2",9001,3973578,100,1647,1353,1581,1419,1639,1361
0,0.3,0.025,0.0,0.01,0.0,2,3,0G,0.6819999999999999,5.400973333337253,5.39856000000392,"Node 0, Node 2",9001,572941,100,2409,591,2281,719,2402,598
0,0.3,0.025,0.0,0.01,0.0,2,3,E2E-1G-Ss-Dp,0.6020000000000001,33.74460333318165,33.74160333318168,"Node 0, Node 2",9001,3345271,100,2315,685,2138,862,2159,841
0,0.3,0.025,0.0,0.01,0.0,2,3,1G-Ss-Dp,0.45766666666666667,20.74946666663601,20.747309999969364,"Node 0, Node 2",9001,2171062,100,1974,1026,1817,1183,1955,1045
0,0.3,0.025,0.0,0.01,0.0,2,3,1-2G-DirectedEncoded,0.5101666666666667,20.626063333303566,20.62398333330359,"Node 0, Node 2",9001,2145830,100,2057,943,1934,1066,2070,930
0,0.3,0.025,0.0,0.01,0.0,2,3,HG-END2ENDPurifiedEncoded,0.8416666666666667,34.34310666651004,34.33238999984346,"Node 0, Node 2",9001,3402014,100,2826,174,2587,413,2637,363
0,0.3,0.025,0.0,0.01,0.0,2,3,2G-NonLocalCNOT,0.3081666666666667,42.428583333119825,42.425433333119805,"Node 0, Node 2",9001,3984609,100,1650,1350,1533,1467,1666,1334
0,0.3,0.025,0.0,0.01,0.0,2,4,0G,0.683,5.323953333337196,5.323306666670527,"Node 0, Node 2",9001,564243,100,2393,607,2310,690,2395,605
0,0.3,0.025,0.0,0.01,0.0,2,4,E2E-1G-Ss-Dp,0.5993333333333333,34.44310999984239,34.43346999984244,"Node 0, Node 2",9001,3409116,100,2275,725,2172,828,2149,851
0,0.3,0.025,0.0,0.01,0.0,2,4,1G-Ss-Dp,0.4653333333333334,20.616703333303516,20.614946666636868,"Node 0, Node 2",9001,2153250,100,1970,1030,1830,1170,1992,1008
0,0.3,0.025,0.0,0.01,0.0,2,4,1-2G-DirectedEncoded,0.507,20.744399999968998,20.743223333302343,"Node 0, Node 2",9001,2162460,100,2023,977,1964,1036,2055,945
0,0.3,0.025,0.0,0.01,0.0,2,4,HG-END2ENDPurifiedEncoded,0.8291666666666667,33.903809999847034,33.89719999984706,"Node 0, Node 2",9001,3356543,100,2828,172,2523,477,2624,376
0,0.3,0.025,0.0,0.01,0.0,2,4,2G-NonLocalCNOT,0.3005,42.38777333311878,42.38221333311881,"Node 0, Node 2",9001,3988974,100,1651,1349,1536,1464,1616,1384
